,movieId,title,genres,is_Adventure,is_IMAX,is_(no genres listed),is_Action,is_Mystery,is_Drama,is_Animation,is_Fantasy,is_Romance,is_Thriller,is_Documentary,is_Western,is_Crime,is_War,is_Comedy,is_Film-Noir,is_Musical,is_Children,is_Sci-Fi,is_Horror
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
1,2,Jumanji (1995),Adventure|Children|Fantasy,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2,3,Grumpier Old Men (1995),Comedy|Romance,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
4,5,Father of the Bride Part II (1995),Comedy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5,6,Heat (1995),Action|Crime|Thriller,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
6,7,Sabrina (1995),Comedy|Romance,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
7,8,Tom and Huck (1995),Adventure|Children,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8,9,Sudden Death (1995),Action,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,10,GoldenEye (1995),Action|Adventure|Thriller,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
10,11,"American President, The (1995)",Comedy|Drama|Romance,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
12,13,Balto (1995),Adventure|Animation|Children,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
13,14,Nixon (1995),Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,15,Cutthroat Island (1995),Action|Adventure|Romance,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
15,16,Casino (1995),Crime|Drama,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
16,17,Sense and Sensibility (1995),Drama|Romance,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
17,18,Four Rooms (1995),Comedy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
18,19,Ace Ventura: When Nature Calls (1995),Comedy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False
20,21,Get Shorty (1995),Comedy|Crime|Thriller,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
22,23,Assassins (1995),Action|Crime|Thriller,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
23,24,Powder (1995),Drama|Sci-Fi,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
24,25,Leaving Las Vegas (1995),Drama|Romance,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
25,26,Othello (1995),Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,27,Now and Then (1995),Children|Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
27,28,Persuasion (1995),Drama|Romance,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
30,31,Dangerous Minds (1995),Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
32,34,Babe (1995),Children|Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
33,36,Dead Man Walking (1995),Crime|Drama,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
34,38,It Takes Two (1995),Children|Comedy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
35,39,Clueless (1995),Comedy|Romance,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
36,40,"Cry, the Beloved Country (1995)",Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,41,Richard III (1995),Drama|War,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
38,42,Dead Presidents (1995),Action|Crime|Drama,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
39,43,Restoration (1995),Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,44,Mortal Kombat (1995),Action|Adventure|Fantasy,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
41,45,To Die For (1995),Comedy|Drama|Thriller,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
42,46,How to Make an American Quilt (1995),Drama|Romance,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
43,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
44,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False
45,49,When Night Is Falling (1995),Drama|Romance,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
46,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
47,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
48,53,Lamerica (1994),Adventure|Drama,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,54,"Big Green, The (1995)",Children|Comedy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
50,55,Georgia (1995),Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,57,Home for the Holidays (1995),Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
53,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
54,61,Eye for an Eye (1996),Drama|Thriller,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
55,62,Mr. Holland's Opus (1995),Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
57,64,Two if by Sea (1996),Comedy|Romance,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
58,65,Bio-Dome (1996),Comedy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
